Country,gti_2011,gti_2012,gti_2013,gti_2014,gti_2015,gti_2016,gti_2017,gti_2018,gti_2019,gti_2020,gti_2021
Libya,1.73324337382458,5.51769391332284,6.19372794193739,6.66500899213693,7.19110504446038,6.90790602040444,6.46069164325596,6.77367098477883,6.31059182402965,5.6411031791512,5.09989545526409
Iran,6.15482350464334,5.69485552574271,5.49519963924286,4.99390142906733,5.17606463136327,4.77800860972016,5.10824864946076,5.58653098038872,5.74592056844922,5.46709795494398,5.01505335029883
United States,4.43519042084531,4.37418817379774,5.07508194649545,5.04033735652218,5.33694796020964,5.88852777906888,6.6244461663803,6.18616771651816,6.06844801310329,5.53643755173745,4.96074978818021
Greece,4.45156879767073,4.03681353233222,4.12985256913237,3.58787537753399,3.15688983977436,3.37024189255354,4.21452527881302,4.48244660199731,4.46515111690442,4.66326681828422,4.84876749804736
Israel,5.62031656193012,5.70457294428828,5.30499480557315,5.12797357822849,5.55322259816757,5.42891739735667,5.36441322663052,5.36423651387386,5.26013743398263,4.95877620242386,4.77766075638711
United Kingdom,4.78217198726346,4.60241351827263,4.59600039939776,4.4873253803156,4.50227724530614,5.07236300906256,6.05764430534648,5.75946237466687,5.45333561672608,5.16790014437243,4.77032337213197
Palestine,5.21051036979599,4.62966764656396,4.46714531665957,4.05863595001542,5.75620912322519,5.8154984477529,5.7187716095879,5.65901672061799,5.40226972989052,4.97416311905137,4.7359659062952
Germany,3.59062016861472,3.22846339268533,2.64470657275619,2.28537313848683,3.6333933494014,5.20903168520037,4.87527918673314,4.92010218667993,4.92275450379461,5.11675726348828,4.72863325570206
Nepal,5.30952479425162,5.14064950577858,4.58650773885426,3.89963085510717,3.37200739950754,3.38773705043058,4.7493697680595,5.21198653380299,5.47646337637233,5.23074497543576,4.69254549819357
France,3.94539143262429,4.37418817379774,3.81613452786145,3.7457623562624,6.66374881057978,6.83871442165881,6.34600214084571,5.99299807744131,5.62136782865829,5.23629417758477,4.56231061100794
Tanzania,1.17857964726365,0.0,1.73324337382458,3.93256185188052,3.69626426383279,3.18141088465709,2.60286360960968,2.02795900826521,3.73770666225547,4.82997630435388,4.53003994392549
Peru,4.7811330178995,4.86370131170827,4.7256827218052,4.55828590572642,4.49748221167637,4.52586205978405,4.23884664349822,4.22314867538136,3.85737950673216,3.21164770197613,4.47062415406509
Tunisia,3.6463379979156,3.41836432010135,4.87154113404705,5.28042632484647,6.27564802584389,6.03138091939618,5.6164949860761,5.52638398893347,5.21912089673152,4.73304029249575,4.44699360196907
Algeria,6.94212076501182,6.65888784420988,6.45579513099647,6.11616791012168,5.77664619823124,5.319259225497,5.01584649417444,5.10919818997365,4.7493697680595,4.32749018735495,4.43208468818836
Bangladesh,4.22906881066648,4.45964326979093,4.52679222191536,4.19087236082477,5.39223271137268,5.75158874460239,5.59266160282219,5.03181817366774,4.75152395041656,4.42112606163548,4.41055874489618
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.49853558785107,4.89979549810479,4.37640295981569
Côte d’Ivoire,0.0,4.20850453015071,3.96161215191814,3.37024189255354,2.78748485822052,4.78631544426386,4.16160875889015,3.55424082523829,2.96816212226439,4.28368687529907,4.30975617115038
Burundi,5.3438511376745,4.74178764829503,4.1437085585076,3.53837728510438,5.15651870908283,4.51320609258001,5.12982892090066,4.53189033108462,3.93624688238152,3.11282776233193,4.27066436131155
Russia,7.54735928836869,7.48184026765576,7.36908479634668,6.95237556627786,6.38215141821664,6.02167472530767,5.8709873397571,5.41769217374246,4.87869161796977,4.6844467537598,4.21917931383591
Uganda,5.24221508830067,4.64114862159622,4.04496016683394,3.45117054835532,3.24903397653852,2.66887504911884,2.10746258881228,1.58002476683844,1.10926419435701,0.0,4.10600305186249
Venezuela,2.89790895311997,2.32171333175312,2.61984417054517,1.75633756539373,1.24275573279512,1.52227131292986,1.05976610192741,5.13168029704351,4.53373677285235,3.9948895250539,4.00513793887633
Tajikistan,4.90160654274043,4.30135435053037,3.74116828256496,3.21164770197613,1.10926419435701,0.682788983777564,2.30976857877713,5.47428715335417,5.18197429242396,4.58390066956663,3.98798924264064
Canada,1.39374242911026,0.891630709376568,0.407014147519911,2.8917889215634,2.49333075899528,2.74488704820418,4.25171435218304,4.72086655914851,4.14153545608497,3.90154674274922,3.88219440978725
Ethiopia,4.73778940846611,5.04979055316869,4.60793339535487,4.5378769282808,4.30676486986528,3.7059131754776,5.73861074199381,5.1580897516355,4.62386957035919,4.35399599539561,3.75940013198875
Italy,3.55993808829416,3.24086428518252,2.66089360219568,2.0525857159787,2.09983275213431,2.48845198067699,2.78748485822052,3.58235955722374,4.3585240102138,3.95444042677994,3.68650662976902
Lebanon,4.98600530614229,5.17694268554342,6.2175392340069,6.57296389764827,6.60732881132965,6.18910428942185,5.62176172489478,5.05511032946536,4.46614879081774,4.08225507392833,3.56559811407061
Austria,2.06064140998562,1.52227131292986,1.03391400719612,0.0,0.0,3.14551016405234,2.56786972280787,2.34511964473887,1.80075657663017,3.80871027414937,3.26114579440574
